Empty,,Vide,,Vuoto,,Leer,,Vacío,,空の,,비어있는,,空的,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jar of Milk,+2 DEF permanent,Lait,+2 DEF permanents,Brocca di latte,+2 DIF massima,Glas Milch,+ 2 VER permanent,Jarra de leche,+2 de DEF permanentes.,牛乳,防御力を永続的に+2,우유 한 병,영구적 +2 방어,一罐牛奶 ,永久性增加 +2 的防御能力,,,Are you really going to just drink that all?,,Vous allez vraiment boire tout ça ?,,Hai davvero intenzione di berla tutta?,,Willst du das wirklich alles trinken?,,¿En serio te vas a beber todo eso?,,まさか…一気飲みするつもりかい？,,정말 다 마실 건가요?,,你真的要喝那么多吗？
Dwarven Stew,+2 FOR permanent,Ragoût des Nains,+2 COU permanents,Stufato dei nani,+2 TEM massima,Zwergeneintopf,+2 STA permanent,Estofado de enanos,+2 de FOR permanentes.,ドワーフのシチュー ,精神力を永続的に+2,드워프 스튜 ,영구적 +2 의지,矮人炖肉,永久性增加 +2 的勇气值,,,"The stew itself isn't nutritional, but the experience surely is",,L'expérience de vous envoyer ça dans le gosier est plus nutritive que le ragoût luimême.,,"Lo stufato in sé non ha niente di nutriente, ma è una vera esperienza culinaria.",,"Der Eintopf selbst ist nicht wirklich nahrhaft, die Erfahrung dagegen schon",,"El estofado en sí no es nutritivo, pero la experiencia vaya si lo es.",,シチュー自体の栄養価はさほどではないが、その経験は貴重である,,"스튜 자체는 영양가가 없지만, 경험엔 분명히 있습니다",,炖菜本身没有营养，但体验肯定是有
Naja Fishlog,+2 DEX permanent,Sushi de Naja,+2 DEX permanents,Baccalà fritto di Naja,+2 DES massima,NajaFischblock,+2 GES permanent,Pescado de Naja,+2 de DES permanentes.,ナジャのちくわ,器用さを永続的に+2,나자 피시로그,영구적 +2 민첩,纳迦鱼志 ,永久性增加 +2 点敏捷值,,,Eat with funny little sticks that improve handeye coordination,,Vous n'aurez pas de bonus de dextérité si vous mangez avec des baguettes.,,Da mangiare con dei buffi bastoncini per lavorare anche sulla propria coordinazione occhiomano.,,"Wird mit kleinen Stäbchen gegessen, was die HandAugeKoordination fördert",,Para atraparlo fueron necesarios hasta 288 intentos.,,ハンド・アイ・コーディネーションを鍛えられる小さな棒と共に味わおう,,손과 눈의 협응력을 향상하는 재미있고 작은 막대기로 드세요,,用有趣的小棍子吃饭，提高手眼协调能力
Exquisite Wine,+2 MAS permanent,Grand Cru,+2 MAI permanents,Vino pregiato ,+2 MAE massima,Edler Weißwein ,+2 MEI permanent,Vino exquisito,+2 de MAE permanentes.,最高級ワイン,熟練度を永続的に+2,최고급 와인,영구적 +2 숙달,精品酒,永久性增加 +2 MAS 值,,,Does it really increase Mastery if you don't tell everyone about it?,,À quoi bon se le jeter derrière la cravate si vous ne pouvez pas vous en vanter ?,,Aumenta la maestria anche se non racconti a tutti di averlo bevuto?,,"Erhöht er wirklich die Meisterschaft, wenn man es nicht aller Welt erzählt?",,¿Realmente aumenta la maestría si no se lo vas contando a todos?,,その味についてみんなに語れば、熟練度があがるだろう。,,아무에게도 말하지 않으면 정말 숙달을 증가시키나요?,,如果你不告诉所有人，真能增加精通度吗？
Hot Bean Juice,+2 SPD permanent,Jus de Haricot,+2 VIT permanents,Sugo di fagioli piccante,+2 VEL massima,Bohnensud,+2 TEM permanent,Jugo de judías caliente,+2 de VEL permanentes.,ホットビーンジュース,素早さを永続的に+2,뜨거운 콩즙,영구적 +2 속도,热豆汁,永久性增加 +2 点 SPD 值,,,Something about this stimulating mixture makes you want to sprint,,Nul ne sait ce qui augmente la vitesse entre le consommer ou vouloir le fuir.,,Qualcosa in questo invitante miscuglio ti fa venire voglia di correre.,,Irgendetwas in dieser anregenden Mischung treibt zum Laufen an,,Esta estimulante mezcla tiene algo que te da ganas de irte corriendo.,,このスパイシーな飲み物は、飲んだ者を疾走へと駆り立てる,,이 자극적인 혼합물의 무언가가 전력 질주하게 만듭니다,,这种刺激性的混合物让你想要冲刺
Dragon Jerky,+2 LCK permanent,Viande de Dragon Séchée,+2 CHA permanents,Carne di drago essiccata,+2 FRT massima,Drachendörrfleisch,+2 GLÜ permanent,Cecina de dragón,+2 de SUE permanentes.,ドラゴンジャーキー,運の良さを永続的に+2,드래곤 육포,영구적 +2 행운,龙肉干 ,永久性增加 +2 点 LCK 值,,,Surprisingly small portion for the container it came in,,La portion est ridiculement petite quand on connait la taille de la bête.,,"Una porzione inaspettatamente piccola, vista la confezione esterna.",,Überraschend kleine Portion im Vergleich zur Verpackung,,"Visto el envase, la ración es sorprendentemente pequeña.",,高そうな入れ物に入っているが、中身はめちゃくちゃ少ない,,들어있던 용기에 비하면 놀랄 만큼 작은 양,,令人惊讶的是它只占了容器的一小部分
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Theron's Passion,Aspect of Competition,Passion de Théron ,Aspect de Compétition,Passione di Theron,Cimelio della competizione,Therons Leidenschaft,Aspekt Wettkampf,La pasión de Theron,aspecto de competición,セロンの情熱,争の霊石,테론의 열정,경쟁의 상,西伦激情,赛相力,,,Critting increases crit chance by 1% for the rest of the level,,Augmente les chances de coup critique de 1 % pour la durée du niveau,,Sferrare colpi critici aumenta la probabilità di colpo critico dell'1% per il resto del livello,,Erhöht die Chance auf kritische Treffer für den Rest des Levels um 1 %,,Ejecutar un crítico aumenta un 1 % la probabilidad de crítico durante el resto del nivel.,,必殺が出るたびに、同じレベルでいる間は必殺率が1％増加する,,크리팅은 레벨의 나머지 부분에서 치명타 확률을 1% 증가합니다,,暴击使其余关卡的暴击几率提高 1%
Chamden's Flux,Aspect of Chaos,Flux de Chamden ,Aspect du Chaos,Flusso di Chamden,Cimelio del caos,Chamdens Fluss,Aspekt Chaos,El flujo de Chamden,aspecto de caos,チャムデンの流入,沌の霊石,챔든의 유동,혼돈의 상,查姆登通量,乱相力,,,Damage is changed a random amount up to plus/minus 30%,,Les dégâts sont aléatoirement modifiés de plus ou moins 30 %,,I danni subiscono un aumento o una diminuzione del 30% in maniera casuale,,Schaden ändert sich um einen zufälligen Betrag von bis zu +/30 %,,El daño aumenta o disminuye en una cantidad aleatoria de hasta el 30 %.,,ダメージがプラス/マイナス30％の範囲でランダムに変更される,,대미지가 최대 +/30%까지 무작위로 변합니다,,伤害值随机变化至正/负 30%
Faine's Judgement,Aspect of Oaths,Jugement de Faine ,Aspect des Serments,Giudizio di Faine,Cimelio delle promesse,Faines Urteil,Aspekt Eide,El juicio de Faine,aspecto de juramentos,フェインの審判,約の霊石,페인의 심판,맹세의 상,费恩的审判,言相力,,,Nearby bonded units increase damage by 5%,,Les unités à proximité en synergie augmentent les dégâts de 5 %,,Le unità vicine con cui ha un legame aumentano i danni inflitti del 5%,,Bei gebundenen Einheiten in der Nähe steigt der Schaden um 5 %,,El daño infligido por unidades vinculadas cercanas aumenta un 5 %.,,近くにいる絆を確立したユニットが与えるダメージが、5％増加する,,주변에 결속된 유닛의 대미지가 5% 증가합니다,,附近被羁绊单位会增加 5% 的伤害
Ayn's Premonition,Aspect of Fear,Premonition d'Ayn ,Aspect de la Peur,Presagio di Ayn,Cimelio della paura,Ayns Vorahnung,Aspekt Furcht,La premonición de Ayn,aspecto de terror,アインの予感,怖の霊石,아인의 예감,공포의 상,艾恩的预感,惧相力,,,True Speed doubled when below 30% HP,,Vitesse Pure doublée sous 30 % de PV,,La vera velocità raddoppia quando i PS scendono sotto il 30%,,Bei <30 % TP verdoppelt sich das Realtempo,,La velocidad real se duplica con los PS por debajo del 30 %.,,HPが30％を下回ると、実戦速度が2倍になる,,HP가 30% 이하일 때 실제 속도가 두 배로 늘어납니다,,生命值低于 30% 时真实速度翻倍
Malice's Suffering,Aspect of Pain,Souffrance de Malice ,Aspect de la Douleur,Afflizione di Malice,Cimelio del dolore,Malices Leiden,Aspekt Schmerz,El sufrimiento de Malice,aspecto de dolor,マリスの苦悶,恨の霊石,맬리스의 수난,고통의 상,恶意的苦难,苦相力,,,"Crit +30%, defense and fortitude halved.",,"Dégâts critiques +30 %, défense et courage réduits de moitié.",,"+30% colpo critico, la difesa e la tempra vengono dimezzate",,"Krit + 30 %, Verteidigung und Standhaftigkeit halbiert.",,+30 % de crítico; defensa y fortaleza reducidas a la mitad.,,必殺率+ 30％、防御力と精神力が半減,,"치명타 +30%, 방어 및 의지가 절반으로 감소합니다.",,暴击 +30%，防御力和勇气减半
Njallum's Heritage,Aspect of Lineage,Héritage de Njallum ,Aspect de la Descendance,Eredità di Njallum,Cimelio della stirpe,Njallums Erbe,Aspekt Abstammung,La herencia de Njallum,aspecto de linaje,ヌジャラムの遺産,統の霊石,은잘룸의 유산,혈통의 상,尼亚卢姆传承,族相力,,,Mastery +20%,,Maîtrise +20 %,,+20% maestria,,Meisterschaft + 20 %,,+20 % de maestría.,,熟練度 +20%,,숙달 +20%,,精通度增加 +20%
Ziegrich's Luminance,Aspect of Knowledge,Radiance de Ziegrich ,Aspect du Savoir,Luminosità di Ziegrich,Cimelio della conoscenza,Ziegrichs Leuchten,Aspekt Wissen,La luminosidad de Ziegrich,aspecto de sabiduría,ジーグリッヒの光輝,知の霊石,지그리치의 휘도,지식의 상,齐格里奇亮度,识相力,,,Half of mastery is added to accuracy,,La moitié de la maîtrise est ajoutée à la précision,,Metà della maestria viene trasferita alla precisione,,Hälfte der Meisterschaft wird zu Präzision addiert,,La mitad de la maestría se añade a la precisión.,,熟練度の半分が命中に追加される,,숙달의 절반이 정확도에 추가됩니다,,精通度的一半增加到准确性
Manos's Fury,Aspect of Vengeance,Furie de Manos ,Aspect de la Vengeance,Furia di Manos,Cimelio della rivalsa,Manos‘ Zorn,Aspekt Rache,La furia de Manos,aspecto de venganza,マノスの憤怒,讐の霊石,마노스의 분노,복수의 상,马诺斯之怒,仇相力,,,"Hit rate is always 50%, power increased by 50%",,"La cadence de frappe est toujours de 50 %, la puissance augmente de 50 %",,"Il 50% dei colpi va sempre a segno, la potenza aumenta del 50%",,"Trefferquote ist immer 50 %, Macht steigt um 50 %",,La tasa de acierto es siempre del 50 % y el poder aumenta un 50 %.,,命中率が常に50％になり、威力が50％増加する,,적중률이 항상 50%이고 파워가 50% 증가합니다,,命中率始终为 50%，威力提升 50%
Kaithir's Promise,Aspect of Revenge,Promesse de Kaithir ,Aspect de Rancœur,Promessa di Kaithir,Cimelio della vendetta,Kaithirs Versprechen,Aspekt Rache,La promesa de Kaithir,aspecto de revancha,カイザーの約束,復の霊石,카이티르의 약속,보복의 상,凯瑟尔之诺,仇相力,,,Counterattack damage increased by 25%,,Les dégâts de contreattaque sont augmentés de 25 %,,I danni del contrattacco aumentano del 25%,,Schaden bei Gegenangriff steigt um 25 %,,El daño de contraataque aumenta un 25 %.,,反撃ダメージが25％増加,,역습 대미지가 25% 증가합니다,,反击伤害增加 25%
Vosh's Sanguination,Aspect of Blood,Pacte du Sang de Vosh ,Aspect du Sang,Dissanguamento di Vosh,Cimelio del sangue,Voshs Aderlass,Aspekt Blut,La sangría de Vosh,aspecto de sangre,ヴォッシュの失血,血の霊石,보쉬의 출혈,피의 상,沃什血腥,腥相力,,,Advanced stats increased by 10% of max HP.,,Les statistiques avancées sont augmentées de 10 % des PV maximum,,Le statistiche avanzate aumentano del 10% del valore dei PS massimi,,Kombiwerte steigen um 10 % der max. TP.,,Las estadísticas avanzadas aumentan en un valor equivalente al 10 % de los PS máximos.,,アドバンスドステータスが最大HPの10％分増加する,,고급 스탯이 최대 HP의 10% 증가합니다,,高级状态使最大生命值的 10% 提升 10%。
Yl'mars Faith,Aspect of Conviction,Foi de Yl'mars ,Aspect de la Conviction,Fede di Yl'mar,Cimelio della condanna,Yl‘mars Glaube,Aspekt Überzeugung,La fe de Yl'mars,aspecto de convicción,イルマーの信仰,念の霊石,일마르스의 믿음,신념의 상,伊尔马尔斯信仰,念相力,,,Grants 40% resistance to arcane magic,,Confère 40 % de résistance à la magie des arcanes,,Fornisce il 40% di resistenza alla magia arcana,,Gewährt 40 % Widerstand gegen arkane Magie,,Otorga un 40 % de resistencia a la magia arcana.,,呪術魔法に対して40％の耐性を付与する,,비전 마법에 40% 저항력을 부여합니다,,获得 40% 对奥术魔法的抗性
