"A mysterious sorcerer, Akmenos, has raised the recently slain bandits from the dead. Join with strangers Sara, Samara, and Brooke to defeat them.",,"Le mystérieux sorcier Akmenos a ressuscité les bandits tombés au combat. Faites équipe avec les étrangers Sara, Samara et Brooke pour en venir à bout.",,"Uno stregone misterioso di nome Akmenos ha rianimato i cadaveri dei banditi. Unisciti alle nuove arrivate, Sara, Samara e Brooke, per sconfiggerli.",,"Der geheimnisvolle Zauberer Akmenos hat die vor Kurzem besiegten Banditen wieder zum Leben erweckt. Verbündet euch mit Sara, Samara und Brooke und besiegt sie.",,"Un hechicero misterioso, Akmenos, ha reanimado a los bandidos que acababas de matar. Une fuerzas con las desconocidas Sara, Samara y Brooke para derrotarlos.",,謎の魔導士、アクメノスが倒したはずの盗賊を死から蘇らせた。素性の知れぬ新たな仲間、サラ、サマラ、ブルックと共に敵を倒そう。,,"미스터리한 마법사 아크메노스가 최근에 살해된 산적들을 죽음에서 부활시켰습니다. 낯선 사람인 사라, 사마라, 브룩과 함께 그들을 물리치십시오.",,神秘魔法师阿克梅诺斯复活了最近被杀死的土匪。与陌生人萨拉、萨玛菈和布鲁克一起打败他们。,
Rout the Deserters,,Mettez les Déserteurs en déroute,,Sconfiggi i disertori,,Deserteure vernichten,,Acaba con los desertores.,,脱走兵を倒せ,,탈영병 처치,,击溃逃兵,
This group of Delian deserters will never give up - defeat them all.,,Ce groupe de déserteurs déliais ne lâchera pas l’affaire. Venez-en à bout.,,Questo gruppo di disertori deliani non si arrenderà mai: sconfiggili tutti.,,Diese Gruppe von Deserteuren aus Delia ergeben sich nicht - besiegt sie alle.,,"Este grupo de desertores de Delia nunca se rendirá, derrótalos a todos.",,デリアの脱走兵たちにもはや忠誠心はない。全員を倒そう。,,이 델리아의 탈영병 무리는 절대 포기하지 않을 것입니다. 모두 물리치십시오.,,这群得洛斯叛逃者决不会放弃——将他们全部击败.,
King Varic has ordered you to clear out a group of violent deserters who have been caught waylaying caravans on the way to Sojourn.,,Le Roi Varic vous a donné l’ordre de vous débarrasser d’un groupe de violents déserteurs qui pillent des caravanes en route vers Sojourn.,,Re Varic ti ha ordinato di sgominare un gruppo di disertori violenti che sono stati scoperti mentre assalivano le carovane dirette a Sojourn.,,"König Varic hat euch befohlen, eine Gruppe gewalttätiger Deserteure auszuschalten, die Karawanen auf dem Weg nach Sojourn auflauern.",,El rey Varic te ha ordenado que elimines a un grupo de desertores violentos que han sido sorprendidos asaltando caravanas en el camino a Sojourn.,,ヴァリック王の命令に従い、ソジャーンへの道中で隊商を襲撃している脱走兵の集団を討伐しよう。,,배릭 왕은 소저른으로 가는 길에서 마차를 노리다가 붙잡힌 폭력적인 탈영병 무리를 제거하라고 명령했습니다.,,瓦里克国王命令你们清除一群暴力叛逃者，他们被发现在前往索乔的途中大篷车里。,
Guard the Aqueducts,,Défendez les Aqueducs,,Fai la guardia agli acquedotti,,Aquädukte bewachen,,Protege los acueductos.,,水道橋を防衛せよ,,수로 보호,,守卫渡槽,
The Aramorans are destroying the aqueducts with sledgehammers - stop them. Aqueduct Health: 100,,Les Aramoriens détruisent les aqueducs à la masse. Arrêtez-les. État des aqueducs : 100,,Gli aramorani stanno distruggendo gli acquedotti con delle mazze: fermali. Integrità dell'acquedotto: 100,,Die Aramoraner zerstören die Aquädukte mit Vorschlaghämmern - haltet sie auf. Aquädukt LP: 100,,Los aramoranos están destruyendo los acueductos con mazos; detenlos. Salud del acueducto: 100.,,アラモル軍がハンマーで水道橋を破壊している。何とかして食い止めよう。水道橋のHP：100,,아라모르인들이 대형 망치로 수로를 파괴하고 있습니다. 그들을 막으십시오. 수로 체력: 100,,阿拉莫拉人正在用大锤摧毁渡槽——阻止他们。渡槽生命值：100,
An Aramoran strike force is destroying the aqueducts in Redhill - you are the only group in the area capable of stopping them.,,Une unité d’assaut aramorienne détruit les aqueducs de Rougeval et vous êtes les seuls dans les environs à pouvoir les arrêter.,,Un esercito aramorano sta distruggendo gli acquedotti di Collerosso: siete l'unica unità in zona in grado di fermarlo.,,"Eine aramoranische Einsatztruppe zerstört die Aquädukte in Redhill - ihr seid die einzige Gruppe in der Nähe, die sie aufhalten könnte.",,Una fuerza de ataque aramorana está destruyendo los acueductos en Redhill; tu grupo es el único de la zona capaz de detenerlos.,,アラモル軍の攻撃部隊がレッドヒルの水道橋を破壊している。それを止めることができるのは、自分たちだけだ。,,아라모르 공격 부대가 레드힐의 수로를 파괴하고 있습니다. 이 지역에 있는 그룹 중에서 이를 막을 수 있는 건 당신뿐입니다.,,一支阿拉莫拉突击队正在摧毁红山的渡槽——你们是该地区唯一能够阻止的队伍。,
Rout 30 enemies,,Mettez 30 ennemis en déroute,,Sconfiggi 30 nemici,,30 Gegner vernichten,,Acaba con 30 enemigos.,,敵を30体倒せ,,적 30명 처치,,打败 30 名敌人,
Push the Aramoran force back from Redhill proper so they can't target civilians. Defeated: 0/30,,Repoussez les forces aramoriennes de Rougeval pour qu’ils ne puissent pas prendre de civil pour cible. Vaincus : 0/30,,Respingi l'esercito aramorano da Collerosso in modo che non attacchi i civili. Nemici sconfitti: 0/30,,"Verdrängt die Aramoraner aus Redhill, damit sie nicht auf die Zivilbevölkerung losgehen. Besiegt: 0/30",,Haz retroceder a la fuerza aramorana de Redhill para que no puedan ir a por los civiles. Derrotados: 0/30.,,アラモル軍をレッドヒルから押し返し、民間人を敵の手から守ろう。 撃破数：0/30,,아라모르군이 민간인들을 표적으로 삼지 못하도록 레드힐에서 제대로 밀쳐내십시오. 처치: 0/30,,将阿拉莫拉军队从红山镇赶回原地，这样他们就不能以平民为目标了。已战胜次数：0/30,
"The force at the aqueducts turned out to be merely a diversion for the main assault on Redhill proper. Caius, who deserted from the Aramoran army upon learning their intent to harm civilians, has warned the group - though it may already be too late.",,"L’assaut sur les aqueducs n’était qu’une diversion du véritable objectif sur Rougeval. Caïus, qui a déserté l’armée aramorienne en apprenant qu’ils avaient l’intention de s’en prendre aux civils, nous a avertis. Mais il est peut-être déjà trop tard...",,"L'esercito agli acquedotti era solo un diversivo per guidare un assalto su Collerosso. Caius, che ha disertato le forze armate aramorane dopo aver scoperto che volevano colpire i civili, ha avvisato il gruppo. Potrebbe essere già troppo tardi.",,"Die Truppe an den Aquädukten sollte nur vom eigentlichen Angriff auf Redhill ablenken. Caius, der von der aramoranischen Armee desertiert ist, als er hörte, dass Zivilisten angegriffen werden sollen, hat die Gruppe gewarnt - aber es könnte zu spät sein.",,"La fuerza que atacaba los acueductos resultó ser simplemente una distracción para poder ejecutar el asalto principal a Redhill. Caius, que ha desertado del ejército aramorano al enterarse de su intención de dañar a los civiles, ha advertido al grupo; aunque puede que ya sea demasiado tarde.",,水道橋の襲撃は、レッドヒルへの攻撃から注意を逸らす陽動作戦であることが判明した。アラモル軍の民間人に危害を加える意図を知り、同軍を脱走したカイウスは、時すでに遅しと思われど、一行にそのことを警告してきた。,,수로의 군대는 단지 레드힐 본부를 공격하기 위한 양동작전이라는 것이 밝혀졌습니다. 아라모르군이 민간인을 해할 의도를 알아채고 탈영한 카이우스는 그룹에 경고했습니다. 하지만 이미 너무 늦었을지도 모릅니다.,,结果证明，渡槽的部队只是为了转移视线，掩护对红山的主要攻击。凯厄斯在得知阿拉莫拉军队意图伤害平民离开了并警告了该战斗小组——尽管现在可能已经太晚了。,
Defeat Aurima,,Battez Aurima,,Sconfiggi Aurima,,Aurima besiegen,,Derrota a Aurima.,,アウリマを倒せ,,아우리마 물리치기,,击败奥里马,
"If you want to get information out of Aurima, you'll need to complete his challenge by defeating him.",,"Si vous voulez apprendre quoi que ce soit de la part d’Aurima, il vous faudra d’abord le vaincre.",,"Se vuoi ottenere informazioni da Aurima, prima dovrai accettare la sua sfida e sconfiggerlo.",,"Wenn ihr Informationen von Aurima haben wollt, müsst ihr seine Herausforderung annehmen und ihn besiegen.",,"Si quieres obtener información de Aurima, deberás completar su desafío y vencerlo.",,アウリマから情報を得たいなら、彼を倒して認めてもらおう。,,"아우리마에게 정보를 얻으려면, 그를 물리쳐서 도전을 완수해야 합니다.",,如果你想从奥里马那里获得信息，你需要击败他来完成挑战。,
"Corvan has led the group to Aurima the Cenaari - a legendary warrior rumored to be in possession of an Aspect. To complete his trial, he must be defeated in combat.",,"Corvan a mené le groupe au légendaire guerrier Aurima le Cenaari, qui, selon la rumeur, serait en possession d’un Aspect. Pour terminer son épreuve, il doit être battu.",,"Corvan ha condotto il gruppo fino ad Aurima il Cenaari, un guerriero leggendario. Si dice che sia in possesso di un Cimelio. Per superare la sua sfida, devi sconfiggerlo in combattimento.",,"Corvan hat die Gruppe zu Aurima dem Cenaari geführt, einem legendären Krieger, der einen Aspekt besitzen soll. Um seine Prüfung zu bestehen, müsst ihr ihn im Kampf besiegen.",,"Corvan ha llevado al grupo con Aurima el cenaarí: un guerrero legendario del que se rumorea que está en posesión de un aspecto. Para superar su prueba, debes derrotarlo en combate.",,コルバンは、一行を「セナアリ」の称号を持つ男、アウリマの所へと導いた。霊石を持っていると噂される伝説の戦士だ。試練を完了するには、彼と戦って勝利しなければならない。,,코반은 상을 소유하고 있다고 소문난 전설적인 전사인 쎄나리 아우리마에게 그룹을 데려갑니다. 시험을 완료하려면 전투에게 그를 패배시켜야 합니다.,,科尔文带小队来到了塞纳利人奥里马这——一个传说中的战士，据传拥有一种相力。为了完成考验，必须在战斗中击败他。,
Defend for 8 turns,,Défendez pendant 8 tours,,Difenditi per 8 turni,,8 Runden lang verteidigen,,Defiéndete durante 8 turnos.,,8ターンの間守り抜け,,8턴 동안 방어,,打败 8 个回合,
Undead brigands have defiled the Temple - defend Vesta while she cleanses it.,,Des morts-brigands on désacralisé le temple. Défendez Vesta pendant qu’elle le purifie.,,Dei briganti non morti hanno invaso il tempio: proteggi Vesta mentre lo purifica.,,"Untote Briganten haben den Tempel geschändet - verteidigt Vesta, während sie ihn reinigt.",,Los forajidos reanimados han profanado el templo; defiende a Vesta mientras lo depura.,,アンデッドの集団が神聖なる神殿を穢した ― ベスタがそれを浄化している間、彼女を守ろう。,,언데드 도적들이 신전을 더럽혔습니다. 베스타가 정화하는 동안 방어하세요.,,亡灵强盗玷污了神庙——在薇丝塔净化神庙时提供保护。,
"The Temple of Faine, God of Oaths, has been defiled by an unknown source. The temple must be guarded while its guardian cleanses its defenses.",,"Le Temple de Faine, Dieu des Serments, a été profané par des inconnus. Le temple doit être défendu pendant que son gardien purifie ses défenses.",,"Il tempio di Faine, dio delle promesse, è stato profanato da un nemico sconosciuto. Il tempio dev'essere protetto mentre la sua guardiana ne ripristina le difese.",,"Der Tempel des Faine, Gott der Eide, wurde von Unbekannte geschändet. Der Tempel muss bewacht werden, während seine Hüterin ihn reinigt.",,"El templo de Faine, dios de los juramentos, ha sido profanado por un agente desconocido. Hay que proteger el templo mientras su guardiana depura las defensas.",,誓いの神であるフェインの神殿が、未知の集団によって穢された。守護者が結界を浄化している間、自分たちが神殿を守らなければならない。,,맹세의 신인 페인의 신전이 정체를 알 수 없는 무언가에 의해 더럽혀졌습니다. 수호자가 방어 시설을 정화하는 동안 신전을 지켜야 합니다.,,誓言之神费恩神庙被不明来源玷污。必须有人守卫神殿，而神殿的守护者则要净化它的防御。,
Reach the Sorcerer,,Atteignez le Sorcier,,Raggiungi lo stregone,,Den Zauberer erreichen,,Alcanza al hechicero.,,魔導士のいる場所に到達せよ,,마법사에게 도달,,到达魔法师跟前,
There is a sorcerer standing amidst the battlefield preparing a massive spell. Reach him to stop it.,,Un sorcier se tient en plein milieu du champ de bataille et prépare un sort cataclysmique. Arrêtez-le.,,Nel mezzo del campo di battaglia c'è uno stregone che sta preparando un incantesimo potentissimo. Raggiungilo e fermalo.,,Mitten auf dem Schlachtfeld steht ein Zauberer und bereitet einen vernichtenden Spruch vor. Erreicht ihn und haltet ihn auf.,,Hay un hechicero preparando un enorme hechizo en medio del campo de batalla. Llega hasta él para detenerlo.,,戦場の中央に立っている魔導士が、大がかりな呪文を唱えようとしている。惨事を食い止めるため、彼のいる場所に到達しよう。,,전장 한가운데 서 있는 마법사가 엄청난 주문을 준비하고 있습니다. 그에게 도달해서 주문을 멈추십시오.,,战场上，有一个魔法师正在准备大规模施咒。到他跟前并阻止他。,
"On the way to Swift Harbor, the group comes upon a massive battle between Delian and Aramoran forces. Amid the battle, a sorcerer prepares what appears to be a devastating spell.",,"Sur le chemin de Port-Vif, le groupe tombe sur un immense champ de bataille entre les forces Déliaises et Aramoriennes. En son milieu, un sorcier semble préparer un sort dévastateur.",,"Lungo la via per Portolesto, il gruppo si imbatte in una battaglia tra gli eserciti deliani e aramorani. Nel mezzo della mischia, uno stregone sta preparando quello che sembra essere un incantesimo devastante.",,Auf dem Weg nach Swift Harbor stößt die Gruppe auf eine gewaltige Schlacht zwischen Delianern und Amoranern. Mitten in der Schlacht scheint ein Zauberer einen vernichtenden Spruch vorzubereiten.,,"En el camino hacia Swift Harbor, el grupo se encuentra con una batalla masiva entre las fuerzas delianas y aramoranas. En medio de la batalla, un hechicero prepara lo que parece ser un hechizo devastador.",,スウィフトハーバーへの道中、一行はデリア軍とアラモル軍の大規模な戦闘に遭遇した。だが、その戦いの中で、1人の魔導士が恐ろしい呪文を唱えようとしているようだ。,,"스위프트 항구로 가는 길에, 그룹은 델리아와 아라모르 군대의 대규모 전투에 직면하게 됩니다. 전투 중, 마법사는 파괴적인 주문으로 보이는 것을 준비합니다.",,在前往斯威夫特港的途中，一行人遇到了得洛斯和阿拉莫拉两军之间的大规模战斗。战场上，一名魔法师似乎在准备施展一个毁灭性的咒术。,
Ship Health: 100,,État du navire : 100,,Integrità della nave: 100,,Schiff LP: 100,,Salud del barco: 100.,,船のHP：100,,배 체력: 100,,船生命值：100,
The ship has been attacked by Storm Spirits - destroy them.,,Le navire est attaqué par des esprits de tempête. Détruisez-les.,,La nave è stata attaccata dagli spiriti della tempesta: distruggili.,,Das Schiff wurde von Sturmgeistern angegriffen - vernichtet sie.,,El barco ha sido atacado por espíritus de las tormentas; destrúyelos.,,船が嵐の精霊に攻撃された ― 返り討ちにしよう。,,배가 폭풍 정령의 공격을 받았습니다. 해치우십시오.,,这艘船受到了风暴精灵的攻击——干掉它们。,
"The ship has been inundated with storm spirits, drawn to the high volume of adept blood on the ship. Defeat them, or perish in the depths.",,Le navire a été pris d’assaut par des esprits de tempête attirés par le sang des adeptes. Battez-les si vous ne voulez pas périr dans les abysses.,,"La nave è stata invasa dagli spiriti della tempesta, attirati dalla quantità di sangue di adepto a bordo. Sconfiggili o perisci nelle profondità del mare.",,"Das Schiff wurde von Sturmgeistern überrannt, die von der großen Menge Adeptenblut an Bord angelockt wurden. Besiegt sie oder geht unter.",,"Los espíritus de las tormentas han anegado el barco, atraídos por la gran cantidad de sangre de adeptos que contiene. Derrótalos o muere en las profundidades.",,船上にいるアデプトの存在に引き寄せられ、嵐の精霊が襲撃してきた。撃退しなければ、海の藻屑と消えるのみだ。,,"배에 있는 다량의 피 냄새를 맡고 폭풍 정령들이 배로 몰려들었습니다. 물리치지 않으면, 바다 깊은 곳에서 사라지게 됩니다.",,风暴精灵已经让这艘船不堪负荷，它们受到船上大量行家血液所吸引。击败它们，否则葬身大海深处。,
Escape in 25 turns,,Échappez-vous en 25 tours,,Scappa entro 25 turni,,In 25 Runden entkommen,,Escapa en 25 turnos.,,25ターン以内に脱出せよ,,25턴 내에 탈출,,逃脱 25 回合,
The Sylvans have been alerted to the party's presence - escape through the river to the north.,,Les Sylvestres ont été alertés de la présence du groupe. Échappez-vous par la rivière au nord.,,"I silvani si sono accorti della presenza del gruppo: scappa attraverso il fiume, verso nord.",,Die Sylvaner haben die Gruppe entdeckt - entkommt durch den Fluss nach Norden.,,Los silvanos han sido alertados de la presencia del grupo. Escapa por el río hacia el norte.,,シルバン族はこちらの存在に気づき、襲撃してきた ― 川を通って北に脱出しよう。,,일행의 존재를 실반 부족이 알아차렸습니다. 강을 통해 북쪽으로 탈출하십시오.,,有人警告过西尔万这一行人的存在——穿过河流向北逃跑。,
"While traveling through the Towering Weald, the party comes upon a Sylvan tribe. A mysterious stranger, Wren, appears - directing them to flee to the north.",,"Alors qu’il voyageait au travers de la Sylve, le groupe fit la rencontre d’une tribu locale. Wren, un mystérieux étranger, leur indiqua de s’échapper par le nord.",,"Durante il viaggio attraverso la Selva Turris, il gruppo si imbatte in una tribù di silvani. Uno straniero misterioso, Wren, appare dal nulla e ordina di scappare verso nord.",,"Auf der Reise durch das Turmhohe Waldgebiet stößt die Gruppe auf einen Sylvanerstamm. Der geheimnisvolle Wren taucht auf und rät ihnen, nach Norden zu fliehen.",,"Mientras viaja a través del Bosque escarpado, el grupo se encuentra con una tribu silvana. Aparece Wren, un misterioso personaje que les indica que huyan hacia el norte.",,タワリングウィールドを旅する一行は、シルバン族に遭遇した。謎の男レンは、北に向かって脱出すべきだと主張する。,,"우뚝 솟은 삼림 지대를 가로질러 여행하던 중, 일행은 실반 부족과 만나게 됩니다. 정체불명의 낯선 사람인 렌이 나타나 북쪽으로 달아나라고 알려줍니다.",,在穿越峥嵘荒野时，一行人遇到了一个西尔万部落。一个神秘的陌生人雷恩出现了——引导他们逃往北方。,
Steal the Relic,,Volez la Relique,,Ruba la reliquia,,Reliquie stehlen,,Roba la reliquia.,,宝物を奪え,,유물 훔치기,,窃取遗物,
Steal the relic from the cultists so it can guide you to the Trial of the Soul.,,Volez la relique aux membres du culte pour qu’elle vous guide vers l’Épreuve de l’âme.,,"Ruba la reliquia dai seguaci del culto, così che ti possa guidare verso la Prova dell'anima.",,"Stehlt den Kultisten die Reliquie, damit sie euch zur Prüfung der Seele führt.",,Roba la reliquia de la secta para que pueda guiarte a la prueba del alma.,,信者たちから宝物を奪い、魂の試練への導きを得よう。,,영혼의 시험으로 안내할 수 있도록 광신도 무리에게서 유물을 훔치십시오.,,从邪教徒那里偷走圣物，这样它可以引导你进行灵魂审判。,
"Having just arrived at the Temple of Hleric, you must now find that which will lead you to the Trial of Soul.",,Vous voilà maintenant arrivés au Temple de Hleric. Vous devez trouver ce qui vous mènera à l’Épreuve de l’âme.,,"Ora che hai raggiunto il tempio di Hleric, devi trovare il manufatto che ti guiderà verso la Prova dell'anima.",,"Nachdem ihr am Hleric-Tempel angekommen seid, müsst ihr das finden, was euch zur Prüfung der Seele führt.",,"Habiendo llegado al templo de Hleric, ahora debes encontrar el objeto que te llevará hasta la prueba del alma.",,一行はフレリックの神殿に到着した。魂の試練へと導くものを手に入れよう。,,"이제 흘레릭 신전에 도착했으니, 영혼의 시험으로 이끌어 줄 것을 찾아야 합니다.",,刚刚抵达赫勒瑞克神殿，你现在必须找到能够引导你进行灵魂审判的东西。,
"The temple is filling with poison gas, escape or die.",,Le temple se remplit de gaz empoisonné. Fuyez ou mourrez.,,Il tempio si sta riempendo di gas velenoso: fuggi o muori.,,Der Tempel füllt sich mit Giftgas; flieht oder geht zugrunde.,,El templo se está llenando de gas venenoso; escapa o muere.,,神殿は毒ガスで満たされている。脱出しなければ死あるのみだ。,,신전은 독가스로 가득 차 있습니다. 탈출 아니면 사망입니다.,,神殿充满毒气，逃或死？,
Defeat Yourselves,,Surpassez-vous !,,Sconfiggi le copie dei membri del gruppo,,Selbst besiegen,,Derrotaos a vosotros mismos.,,己の幻影を倒せ,,자신을 이기기,,战胜你自己,
The temple of Koeli-Sumash has offered shadow selves as a trial - defeat them.,,Le temple de Koeli-Sumash vous impose de venir à bout de vos alter égos. Battez-les.,,Il tempio di Koeli-Sumash ha evocato delle figure d'ombra per la prova: sconfiggile.,,Der Tempel von Koeli-Sumash stellt euch mit Schatten eurer selbst auf die Probe - besiegt sie.,,El templo de Koeli-Sumash os ofrece a vuestras propias sombras como prueba; derrotadlas.,,コエリ・スマシュの神殿は、試練として各人の影を用意した ― 己に勝利しよう。,,코엘리-스마쉬 신전은 그림자 자아를 시험으로 제시했습니다. 물리치십시오.,,科利-苏马什神庙提供影子考验 ——击败他们。,
"The Trial of the Soul presents a unique challenge. To advance, it appears you must defeat yourselves.",,"L’Épreuve de l’âme vous pose un étrange défi. Pour progresser, vous devrez vous battre vous-mêmes.",,"La Prova dell'anima propone una sfida unica: per procedere, bisogna sconfiggere delle copie dei membri del gruppo.",,"Die Prüfung der Seele ist eine einzigartige Herausforderung. Um weiterzukommen, müsst ihr euch selbst besiegen.",,"La prueba del alma presenta un desafío singular. Para avanzar, parece que debéis derrotaros a vosotros mismos.",,魂の試練は、独特の難題を提示する。先に進むには、己に打ち勝たなければならない。,,"영혼의 시험은 독특한 도전을 제시합니다. 나아가려면, 자기 자신을 물리쳐야 합니다.",,灵魂审判提出了独特的挑战。要想晋级，看来必须要打败自己。,
Slay the Dragon,,Pourfendez le Dragon,,Uccidi il drago,,Drachen töten,,Mata al dragón.,,ドラゴンを倒せ,,드래곤 죽이기,,屠龙,
Slay the Dragon of the Marrows and claim 10% of Fenton's 'inheritance',,Pourfendez le Dragon des Moelles pour obtenir 10 % de « l’héritage » de Fenton.,,Uccidi il drago del Midollo e reclama il 10% dell'eredità di Fenton.,,Tötet den Drachen der Markhöhlen und nehmt euch 10 % von Fentons „Erbe“.,,"Mata al dragón de los Calabazares y hazte con el 10 % de la ""herencia"" de Fenton.",,マロウズのドラゴンを倒し、フェントンの「遺産」の10％を要求しよう,,매로우의 드래곤을 죽이고 펜톤의 ‘상속’ 10%를 차지하십시오.,,杀死迈罗斯之龙并获得芬顿 10% 的“遗产”。,
"In the depths of the Marrows, the group comes across Fenton, a lone dwarf who leads them further still. To claim your base, you must slay the Dragon who has long haunted the Marrows.",,"Dans les profondeurs des Moelles, le groupe fait la rencontre de Fenton, un nain solitaire qui les aide à progresser. Pour reprendre votre base, vous devez vaincre le dragon qui hante depuis longtemps les Moelles.",,"Nelle viscere del Midollo, il gruppo incontra Fenton, un nano solitario che li guida ancora più in profondità. Per impossessarti della tua base, devi uccidere il drago che da tempo abita nel Midollo.",,"In den Tiefen der Markhöhlen trifft die Gruppe auf Fenton, einen einsamen Zwerg, der sie ein Stück weiter führt. Um euren Anteil zu erhalten, müsst ihr den Drachen töten, der schon lange in den Markhöhlen umgeht.",,"En las profundidades de los Calabazares, el grupo se encuentra con Fenton, un enano solitario que los hace adentrarse aún más. Para hacerte con tu base, debes matar al dragón que lleva mucho tiempo causando terror en los Calabazares.",,マロウズの奥で、一行は道案内をする孤独なドワーフ、フェントンに出くわす。こちらの要求を通すには、長きに渡りそこを悩ませているドラゴンを倒さなければならない。,,"매로우의 깊숙한 곳에서, 그룹은 그들을 더 멀리까지 이끌어 줄 외로운 드워프 펜톤을 만나게 됩니다. 기지를 차지하려면, 매로우를 오랫동안 괴롭혀온 드래곤을 죽여야 합니다.",,在迈罗斯深处，这群人遇到了芬顿，一个孤独的矮人，他带着他们继续前进。要拿回基地，你必须杀死长期骚扰迈罗斯人的恶龙。,
Release Prisoners,,Libérez les Prisonniers,,Libera i prigionieri,,Gefangene befreien,,Libera a los presos.,,囚人を解放せよ,,포로 석방,,释放囚犯,
Soldiers housed in Dervin prison will be executed soon - rescue them all.,,Les soldats captifs dans la prison de Dervin seront bientôt exécutés. Allez à leur secours.,,I soldati rinchiusi nella prigione di Dervin saranno giustiziati presto: salvali tutti.,,Die Soldaten im Gefängnis von Dervin werden bald hingerichtet - rettet sie alle.,,Los soldados retenidos en la prisión de Dervin pronto serán ejecutados. Rescátalos a todos.,,ダービンの牢獄の囚人たちがまもなく処刑される ― 全員救出しよう。,,더빈 감옥에 있는 병사들이 곧 처형됩니다. 모두 구출하십시오.,,关押在德文监狱的士兵很快就会被处决——把他们全部救出来,
